	MAIN_TAREADOR	multisort_0	multisort_1	multisort_2	multisort_3	merge_0	merge_3	merge_4	merge_1	merge_2	
THREAD 1.1.1	53000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	22000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.3	0.00	1217120000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.4	0.00	0.00	1236849000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.5	0.00	0.00	0.00	1231199000.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.6	0.00	0.00	0.00	0.00	1240901000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.7	0.00	0.00	0.00	0.00	0.00	36000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.8	0.00	0.00	0.00	0.00	0.00	0.00	10332000.00	0.00	0.00	0.00	
THREAD 1.1.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11261000.00	0.00	0.00	
THREAD 1.1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41000.00	0.00	
THREAD 1.1.11	0.00	0.00	0.00	0.00	0.00	0.00	10332000.00	0.00	0.00	0.00	
THREAD 1.1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11293000.00	0.00	0.00	
THREAD 1.1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35000.00	
THREAD 1.1.14	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.15	0.00	0.00	0.00	0.00	0.00	0.00	10332000.00	0.00	0.00	0.00	
THREAD 1.1.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11294000.00	0.00	0.00	
THREAD 1.1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.18	0.00	0.00	0.00	0.00	0.00	0.00	11425000.00	0.00	0.00	0.00	
THREAD 1.1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11283000.00	0.00	0.00	
THREAD 1.1.20	0.00	0.00	26000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.21	0.00	1221895000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.22	0.00	0.00	1229624000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.23	0.00	0.00	0.00	1232299000.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.24	0.00	0.00	0.00	0.00	1210726000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.25	0.00	0.00	0.00	0.00	0.00	36000.00	0.00	0.00	0.00	0.00	
